,Unnamed: 0,X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,Block
64,64,-78.48814392173264,38.00517654405972,2980,65,12800,PVCC Dickinson Building,38.00517654,-78.48814392,510030113032006
65,65,-78.46972656148614,38.04375076374896,2981,66,12871,North Avenue at Park Street,38.04375076,-78.46972656,515400009002018
66,66,-78.4649810794499,38.042762757082585,2982,67,12885,North Ave at Holmes Ave,38.04276276,-78.46498108,515400009002018
67,67,-78.46520233151912,38.042068482081056,2983,68,12902,Sheridan Ave at Calhoun St,38.04206848,-78.46520233,515400009002018
68,68,-78.46352386554278,38.040489196792045,2984,69,12918,Calhoun Street at Locust Avenue,38.0404892,-78.46352386,515400009001011
69,69,-78.52402496258622,37.99908828743159,2985,70,12939,Hickory Street at Quest Court,37.99908829,-78.52402496,510030113022018
70,70,-78.46179199325695,38.03934097367594,2986,71,12941,St Clair Ave at Calhoun St,38.03934097,-78.46179199,515400009001016
71,71,-78.49455261127629,38.02081298796301,2987,72,12956,5th Street SW at Bailey Road (southbound),38.02081299,-78.49455261,515400005011011
72,72,-78.45840454017659,38.04225158680399,2988,73,12960,Peartree Lane at Saint Clair Avenue Southbound,38.04225159,-78.45840454,515400009001010
73,73,-78.48870086732401,38.02619934062029,2989,74,12987,Ridge Street at Cherry Avenue Southbound,38.02619934,-78.48870087,515400004011011
74,74,-78.48645019474738,38.02807235696359,2990,75,12994,Ridge Street at Dice Street (southbound),38.02807236,-78.4864502,515400004011008
75,75,-78.4892807011564,38.037822723800105,2991,76,13001,Preston Ave at Booker St.,38.03782272,-78.48928070000002,515400002012010
76,76,-78.48657989564245,38.0796661376075,2992,77,13017,Four Seasons Drive at ACAC,38.07966614,-78.48657990000002,510030107001000
77,77,-78.48266601587093,38.086696625608866,2993,78,13040,Rio Road W at Charlottesville Rehab eastbound,38.08669662,-78.48266602,510030107001000
